hour,time_utc,month,source_year,local_hour,ghi,dni,dhi,t2m
4231,2023-06-26T07:00:00Z,6,2023,3,0.00,0.00,0.00,22.69
4232,2023-06-26T08:00:00Z,6,2023,4,0.00,0.00,0.00,22.20
4233,2023-06-26T09:00:00Z,6,2023,5,0.00,0.00,0.00,21.76
4234,2023-06-26T10:00:00Z,6,2023,6,5.95,6.21,8.81,21.58
4235,2023-06-26T11:00:00Z,6,2023,7,113.18,238.86,68.20,23.80
4236,2023-06-26T12:00:00Z,6,2023,8,286.83,344.41,148.92,25.54
4237,2023-06-26T13:00:00Z,6,2023,9,483.15,492.72,203.11,28.55
4238,2023-06-26T14:00:00Z,6,2023,10,707.00,708.73,159.72,30.49
4239,2023-06-26T15:00:00Z,6,2023,11,852.67,737.26,180.67,31.91
4240,2023-06-26T16:00:00Z,6,2023,12,901.35,691.28,219.04,32.82
4241,2023-06-26T17:00:00Z,6,2023,13,916.08,682.18,245.91,33.36
4242,2023-06-26T18:00:00Z,6,2023,14,853.80,729.93,165.55,33.63
4243,2023-06-26T19:00:00Z,6,2023,15,779.42,580.60,259.43,33.67
4244,2023-06-26T20:00:00Z,6,2023,16,593.40,457.22,245.68,33.63
4245,2023-06-26T21:00:00Z,6,2023,17,468.45,569.47,139.17,33.22
4246,2023-06-26T22:00:00Z,6,2023,18,274.50,452.50,103.33,32.71
4247,2023-06-26T23:00:00Z,6,2023,19,104.03,252.91,56.18,31.20
4248,2023-06-27T00:00:00Z,6,2023,20,4.65,7.81,6.82,29.73
4249,2023-06-27T01:00:00Z,6,2023,21,0.00,0.00,0.00,28.76
4250,2023-06-27T02:00:00Z,6,2023,22,0.00,0.00,0.00,27.23
4251,2023-06-27T03:00:00Z,6,2023,23,0.00,0.00,0.00,26.27
4252,2023-06-27T04:00:00Z,6,2023,0,0.00,0.00,0.00,25.51
4253,2023-06-27T05:00:00Z,6,2023,1,0.00,0.00,0.00,24.97
4254,2023-06-27T06:00:00Z,6,2023,2,0.00,0.00,0.00,24.44
4255,2023-06-27T07:00:00Z,6,2023,3,0.00,0.00,0.00,23.92
4256,2023-06-27T08:00:00Z,6,2023,4,0.00,0.00,0.00,23.41
4257,2023-06-27T09:00:00Z,6,2023,5,0.00,0.00,0.00,22.91
4258,2023-06-27T10:00:00Z,6,2023,6,6.30,17.36,8.45,22.59
4259,2023-06-27T11:00:00Z,6,2023,7,127.97,403.27,52.22,24.74
4260,2023-06-27T12:00:00Z,6,2023,8,332.98,625.23,80.12,26.96
4261,2023-06-27T13:00:00Z,6,2023,9,543.92,747.72,97.09,28.74
4262,2023-06-27T14:00:00Z,6,2023,10,697.83,735.22,132.42,30.12
4263,2023-06-27T15:00:00Z,6,2023,11,842.90,772.16,163.23,31.33
4264,2023-06-27T16:00:00Z,6,2023,12,895.78,681.27,235.81,32.38
4265,2023-06-27T17:00:00Z,6,2023,13,900.12,594.51,286.35,33.19
4266,2023-06-27T18:00:00Z,6,2023,14,825.25,702.80,167.58,33.75
4267,2023-06-27T19:00:00Z,6,2023,15,795.38,686.58,190.47,34.03
4268,2023-06-27T20:00:00Z,6,2023,16,673.75,702.99,151.13,34.06
4269,2023-06-27T21:00:00Z,6,2023,17,511.23,669.71,116.88,33.69
4270,2023-06-27T22:00:00Z,6,2023,18,296.05,496.88,106.06,32.85
4271,2023-06-27T23:00:00Z,6,2023,19,105.47,238.60,65.43,31.26
4272,2023-06-28T00:00:00Z,6,2023,20,4.38,5.50,6.37,29.03
4273,2023-06-28T01:00:00Z,6,2023,21,0.00,0.00,0.00,28.04
4274,2023-06-28T02:00:00Z,6,2023,22,0.00,0.00,0.00,27.10
4275,2023-06-28T03:00:00Z,6,2023,23,0.00,0.00,0.00,26.22
4276,2023-06-28T04:00:00Z,6,2023,0,0.00,0.00,0.00,25.58
4277,2023-06-28T05:00:00Z,6,2023,1,0.00,0.00,0.00,25.07
4278,2023-06-28T06:00:00Z,6,2023,2,0.00,0.00,0.00,24.64
4279,2023-06-28T07:00:00Z,6,2023,3,0.00,0.00,0.00,24.38
4280,2023-06-28T08:00:00Z,6,2023,4,0.00,0.00,0.00,24.25
